Reward,Win,Sprint,DateTime,Flag
577.24791,True,61,2024-06-19 17:31:28.773315,False
585.56034,False,67,2024-06-19 17:31:28.773315,False
614.10294,True,54,2024-06-19 17:31:28.773315,False
582.13229,False,69,2024-06-19 17:31:28.773315,False
487.01546,False,67,2024-06-19 17:31:28.773315,False
568.34665,True,64,2024-06-19 17:31:28.773315,False
642.63540,True,59,2024-06-19 17:31:28.773315,False
591.91957,True,53,2024-06-19 17:31:28.773315,False
628.49171,False,70,2024-06-19 17:31:28.773315,False
576.53124,False,69,2024-06-19 17:31:28.773315,False
586.55060,False,70,2024-06-19 17:31:28.773315,False
578.43252,True,62,2024-06-19 17:31:28.773315,False
586.11875,False,69,2024-06-19 17:31:28.773315,False
480.82399,False,66,2024-06-19 17:31:28.773315,False
563.44140,False,68,2024-06-19 17:31:28.773315,False
524.28933,False,67,2024-06-19 17:31:28.773315,False
603.52074,True,52,2024-06-19 17:31:28.773315,False
652.17868,True,58,2024-06-19 17:31:28.773315,False
598.48682,True,57,2024-06-19 17:31:28.773315,False
541.20540,False,69,2024-06-19 17:31:28.773315,False
541.15984,False,67,2024-06-19 17:31:28.773315,False
605.99640,True,55,2024-06-19 17:31:28.773315,False
570.23345,False,69,2024-06-19 17:31:28.773315,False
639.77791,True,68,2024-06-19 17:31:28.773315,False
590.57006,False,69,2024-06-19 17:31:28.773315,False
671.45990,True,60,2024-06-19 17:31:28.773315,False
580.14794,False,70,2024-06-19 17:31:28.773315,False
561.74231,True,55,2024-06-19 17:31:28.773315,False
598.66692,True,57,2024-06-19 17:31:28.773315,False
513.87608,False,66,2024-06-19 17:31:28.773315,False
639.21767,True,60,2024-06-19 17:31:28.773315,False
480.41356,False,64,2024-06-19 17:31:28.773315,False
563.21545,False,69,2024-06-19 17:31:28.773315,False
530.18045,False,66,2024-06-19 17:31:28.773315,False
666.27071,True,64,2024-06-19 17:31:28.773315,False
513.06103,False,68,2024-06-19 17:31:28.773315,False
536.62355,False,69,2024-06-19 17:31:28.773315,False
624.24669,True,50,2024-06-19 17:31:28.773315,False
523.48922,False,67,2024-06-19 17:31:28.773315,False
570.38062,False,70,2024-06-19 17:31:28.773315,False
521.48532,False,68,2024-06-19 17:31:28.773315,False
513.22699,False,68,2024-06-19 17:31:28.773315,False
630.35840,False,69,2024-06-19 17:31:28.773315,False
