Trajectory,Reward,DateTime,Flag
74,38.60453,2024-06-17 15:23:14.422884,True
75,164.83716,2024-06-17 15:23:14.422884,True
76,205.24167,2024-06-17 15:23:14.422884,True
77,-108.78331,2024-06-17 15:23:14.422884,True
78,-252.78755,2024-06-17 15:23:14.422884,True
79,-297.24863,2024-06-17 15:23:14.422884,True
80,118.24167,2024-06-17 15:23:14.422884,True
81,147.24167,2024-06-17 15:23:14.422884,True
82,23.63242,2024-06-17 15:23:14.422884,True
83,-171.68512,2024-06-17 15:23:14.422884,True
84,-92.93576,2024-06-17 15:23:14.422884,True
85,-102.86006,2024-06-17 15:23:14.422884,True
86,176.24167,2024-06-17 15:23:14.422884,True
87,-260.49693,2024-06-17 15:23:14.422884,True
88,140.81322,2024-06-17 15:23:14.422884,True
89,-184.57897,2024-06-17 15:23:14.422884,True
90,-25.57134,2024-06-17 15:23:14.422884,True
91,176.24167,2024-06-17 15:23:14.422884,True
92,171.02195,2024-06-17 15:23:14.422884,True
93,-121.92009,2024-06-17 15:23:14.422884,True
94,116.35279,2024-06-17 15:23:14.422884,True
95,35.23547,2024-06-17 15:23:14.422884,True
96,86.39465,2024-06-17 15:23:14.422884,True
97,30.72585,2024-06-17 15:23:14.422884,True
98,205.24167,2024-06-17 15:23:14.422884,True
99,280.14219,2024-06-17 15:23:14.422884,True
100,-24.44541,2024-06-17 15:23:14.422884,True
101,-143.17364,2024-06-17 15:23:14.422884,True
102,-265.63900,2024-06-17 15:23:14.422884,True
103,65.85918,2024-06-17 15:23:14.422884,True
104,-8.70076,2024-06-17 15:23:14.422884,True
105,65.74343,2024-06-17 15:23:14.422884,True
106,-151.31830,2024-06-17 15:23:14.422884,True
107,-12.02634,2024-06-17 15:23:14.422884,True
108,91.73167,2024-06-17 15:23:14.422884,True
109,-100.82796,2024-06-17 15:23:14.422884,True
110,-57.12563,2024-06-17 15:23:14.422884,True
111,-54.58109,2024-06-17 15:23:14.422884,True
112,-233.27333,2024-06-17 15:23:14.422884,True
113,205.24167,2024-06-17 15:23:14.422884,True
114,-55.31983,2024-06-17 15:23:14.422884,True
115,-256.70777,2024-06-17 15:23:14.422884,True
116,176.24167,2024-06-17 15:23:14.422884,True
117,205.24167,2024-06-17 15:23:14.422884,True
118,-114.09273,2024-06-17 15:23:14.422884,True
119,-206.37083,2024-06-17 15:23:14.422884,True
120,-71.96453,2024-06-17 15:23:14.422884,True
121,-194.42602,2024-06-17 15:23:14.422884,True
122,-11.24462,2024-06-17 15:23:14.422884,True
123,-129.46581,2024-06-17 15:23:14.422884,True
124,43.66504,2024-06-17 15:23:14.422884,True
125,-286.68337,2024-06-17 15:23:14.422884,True
126,-187.92518,2024-06-17 15:23:14.422884,True
127,72.95765,2024-06-17 15:23:14.422884,True
128,49.16762,2024-06-17 15:23:14.422884,True
129,49.44761,2024-06-17 15:23:14.422884,True
130,-196.37083,2024-06-17 15:23:14.422884,True
131,176.24167,2024-06-17 15:23:14.422884,True
132,163.40922,2024-06-17 15:23:14.422884,True
133,-156.13927,2024-06-17 15:23:14.422884,True
134,-66.41082,2024-06-17 15:23:14.422884,True
135,100.02539,2024-06-17 15:23:14.422884,True
136,-252.70173,2024-06-17 15:23:14.422884,True
137,147.24167,2024-06-17 15:23:14.422884,True
138,205.24167,2024-06-17 15:23:14.422884,True
139,-135.29872,2024-06-17 15:23:14.422884,True
140,204.24167,2024-06-17 15:23:14.422884,True
141,183.58517,2024-06-17 15:23:14.422884,True
142,51.06576,2024-06-17 15:23:14.422884,True
143,-242.99154,2024-06-17 15:23:14.422884,True
144,-252.59267,2024-06-17 15:23:14.422884,True
145,175.93036,2024-06-17 15:23:14.422884,True
146,22.09171,2024-06-17 15:23:14.422884,True
147,-188.18843,2024-06-17 15:23:14.422884,True
148,-276.57748,2024-06-17 15:23:14.422884,True
149,205.24167,2024-06-17 15:23:14.422884,True
150,-81.69837,2024-06-17 15:23:14.422884,True
151,-256.85938,2024-06-17 15:23:14.422884,True
152,302.39825,2024-06-17 15:23:14.422884,True
153,-118.36423,2024-06-17 15:23:14.422884,True
154,-239.63873,2024-06-17 15:23:14.422884,True
155,143.88489,2024-06-17 15:23:14.422884,True
156,-96.93340,2024-06-17 15:23:14.422884,True
157,-61.81505,2024-06-17 15:23:14.422884,True
158,-269.61333,2024-06-17 15:23:14.422884,True
159,-152.64384,2024-06-17 15:23:14.422884,True
160,54.75612,2024-06-17 15:23:14.422884,True
161,-56.60144,2024-06-17 15:23:14.422884,True
162,5.69124,2024-06-17 15:23:14.422884,True
163,71.49532,2024-06-17 15:23:14.422884,True
164,-207.37083,2024-06-17 15:23:14.422884,True
165,-242.22864,2024-06-17 15:23:14.422884,True
166,205.24167,2024-06-17 15:23:14.422884,True
167,20.29924,2024-06-17 15:23:14.422884,True
168,-66.69321,2024-06-17 15:23:14.422884,True
169,-196.45833,2024-06-17 15:23:14.422884,True
170,-108.09906,2024-06-17 15:23:14.422884,True
171,197.68049,2024-06-17 15:23:14.422884,True
172,-210.66883,2024-06-17 15:23:14.422884,True
173,129.43427,2024-06-17 15:23:14.422884,True
174,-11.32480,2024-06-17 15:23:14.422884,True
175,-92.73195,2024-06-17 15:23:14.422884,True
176,31.12405,2024-06-17 15:23:14.422884,True
177,-57.69620,2024-06-17 15:23:14.422884,True
178,203.62478,2024-06-17 15:23:14.422884,True
179,-124.16891,2024-06-17 15:23:14.422884,True
180,-45.26856,2024-06-17 15:23:14.422884,True
181,-176.10013,2024-06-17 15:23:14.422884,True
182,-162.48628,2024-06-17 15:23:14.422884,True
183,-183.35553,2024-06-17 15:23:14.422884,True
184,18.91065,2024-06-17 15:23:14.422884,True
185,54.87705,2024-06-17 15:23:14.422884,True
186,201.85890,2024-06-17 15:23:14.422884,True
187,204.24167,2024-06-17 15:23:14.422884,True
188,-257.45833,2024-06-17 15:23:14.422884,True
189,223.17482,2024-06-17 15:23:14.422884,True
190,-58.93486,2024-06-17 15:23:14.422884,True
191,-295.77893,2024-06-17 15:23:14.422884,True
192,-85.49834,2024-06-17 15:23:14.422884,True
193,101.99766,2024-06-17 15:23:14.422884,True
194,-251.26832,2024-06-17 15:23:14.422884,True
195,204.24167,2024-06-17 15:23:14.422884,True
196,13.25424,2024-06-17 15:23:14.422884,True
197,-63.95015,2024-06-17 15:23:14.422884,True
198,136.13467,2024-06-17 15:23:14.422884,True
199,-25.42057,2024-06-17 15:23:14.422884,True
200,-250.66153,2024-06-17 15:23:14.422884,True
201,-83.83993,2024-06-17 15:23:14.422884,True
202,230.76254,2024-06-17 15:23:14.422884,True
203,-267.34159,2024-06-17 15:23:14.422884,True
204,-90.77593,2024-06-17 15:23:14.422884,True
205,-199.98174,2024-06-17 15:23:14.422884,True
206,22.92142,2024-06-17 15:23:14.422884,True
207,0.79877,2024-06-17 15:23:14.422884,True
208,-67.07036,2024-06-17 15:23:14.422884,True
209,98.95277,2024-06-17 15:23:14.422884,True
210,-105.61583,2024-06-17 15:23:14.422884,True
211,104.57943,2024-06-17 15:23:14.422884,True
212,-131.37473,2024-06-17 15:23:14.422884,True
213,-39.18457,2024-06-17 15:23:14.422884,True
214,-51.35553,2024-06-17 15:23:14.422884,True
215,190.20284,2024-06-17 15:23:14.422884,True
216,72.54167,2024-06-17 15:23:14.422884,True
217,91.24892,2024-06-17 15:23:14.422884,True
218,-124.12043,2024-06-17 15:23:14.422884,True
219,106.18972,2024-06-17 15:23:14.422884,True
220,206.66298,2024-06-17 15:23:14.422884,True
221,101.93111,2024-06-17 15:23:14.422884,True
222,105.25592,2024-06-17 15:23:14.422884,True
223,100.68167,2024-06-17 15:23:14.422884,True
224,129.09797,2024-06-17 15:23:14.422884,True
225,118.85437,2024-06-17 15:23:14.422884,True
226,137.73650,2024-06-17 15:23:14.422884,True
227,87.74717,2024-06-17 15:23:14.422884,True
228,91.84082,2024-06-17 15:23:14.422884,True
229,289.19396,2024-06-17 15:23:14.422884,True
230,105.66582,2024-06-17 15:23:14.422884,True
231,81.64852,2024-06-17 15:23:14.422884,True
232,114.96787,2024-06-17 15:23:14.422884,True
233,94.35827,2024-06-17 15:23:14.422884,True
234,120.37092,2024-06-17 15:23:14.422884,True
235,100.61297,2024-06-17 15:23:14.422884,True
236,132.58832,2024-06-17 15:23:14.422884,True
237,93.03827,2024-06-17 15:23:14.422884,True
238,259.31854,2024-06-17 15:23:14.422884,True
239,105.48937,2024-06-17 15:23:14.422884,True
240,-95.94229,2024-06-17 15:23:14.422884,True
241,97.87127,2024-06-17 15:23:14.422884,True
242,104.73367,2024-06-17 15:23:14.422884,True
243,-104.54898,2024-06-17 15:23:14.422884,True
244,120.78207,2024-06-17 15:23:14.422884,True
245,104.73367,2024-06-17 15:23:14.422884,True
246,262.91852,2024-06-17 15:23:14.422884,True
247,110.39182,2024-06-17 15:23:14.422884,True
248,108.29077,2024-06-17 15:23:14.422884,True
249,90.31512,2024-06-17 15:23:14.422884,True
250,108.41027,2024-06-17 15:23:14.422884,True
251,-59.74803,2024-06-17 15:23:14.422884,True
252,89.14787,2024-06-17 15:23:14.422884,True
253,114.51927,2024-06-17 15:23:14.422884,True
254,109.56957,2024-06-17 15:23:14.422884,True
255,126.06947,2024-06-17 15:23:14.422884,True
256,89.96122,2024-06-17 15:23:14.422884,True
257,94.42527,2024-06-17 15:23:14.422884,True
258,101.28727,2024-06-17 15:23:14.422884,True
259,92.01627,2024-06-17 15:23:14.422884,True
260,-36.84513,2024-06-17 15:23:14.422884,True
261,88.22457,2024-06-17 15:23:14.422884,True
262,98.71932,2024-06-17 15:23:14.422884,True
263,-86.42873,2024-06-17 15:23:14.422884,True
264,92.95307,2024-06-17 15:23:14.422884,True
265,-113.42008,2024-06-17 15:23:14.422884,True
266,74.36507,2024-06-17 15:23:14.422884,True
267,86.23927,2024-06-17 15:23:14.422884,True
268,81.78947,2024-06-17 15:23:14.422884,True
269,91.07947,2024-06-17 15:23:14.422884,True
